Blank_PCR,Blood,Menstrual.secretion,Nasal.mucosa,Saliva,Semen.fertile,Semen.sterile,Skin,Skin.penile,Vaginal.mucosa,HBB,ALAS2,CD93,HTN3,STATH,BPIFA1,MUC4,MYOZ1,CYP2B7P1,MMP10,MMP7,MMP11,SEMG1,KLK3,PRM1,RPS4Y1,XIST,ACTB,18S-rRNA
0,1,0,0,0,0,0,0,0,0,5526.0,5080.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6302.0,0.0,4263.0,5683.0
0,1,0,0,0,0,0,0,0,0,6279.0,5826.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5305.0,0.0,4605.0,7300.0
0,1,0,0,0,0,0,0,0,0,5784.0,8106.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6484.0,0.0,4733.0,7445.0
0,1,0,0,0,0,0,0,0,0,6554.0,2736.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6960.0,0.0,2170.0,2883.0
0,1,0,0,0,0,0,0,0,0,5850.0,8900.0,1584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6566.0,0.0,7239.0,7496.0
0,1,0,0,0,0,0,0,0,0,5346.0,8697.0,4484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6020.0,0.0,6973.0,6935.0
0,1,0,0,0,0,0,0,0,0,6204.0,8998.0,2197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6584.0,0.0,7354.0,7442.0
0,1,0,0,0,0,0,0,0,0,5722.0,8909.0,3940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6133.0,0.0,7413.0,7175.0
0,1,0,0,0,0,0,0,0,0,5262.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2766.0,0.0,2048.0,3698.0
0,1,0,0,0,0,0,0,0,0,6239.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3074.0,0.0,1423.0,2765.0
0,1,0,0,0,0,0,0,0,0,4927.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5859.0,0.0,1668.0,3017.0
0,1,0,0,0,0,0,0,0,0,5993.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,1766.0,2734.0
0,1,0,0,0,0,0,0,0,0,5870.0,699.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6307.0,0.0,6025.0,5901.0
